easy,,United States	Washington D.C., Washington DC, Washington
hard,,Uruguay	Montevideo
hard,,Uzbekistan	Tashkent
hard,,Vanuatu	Port Vila
hard,,Vatican City	Vatican City
hard,,Venezuela	Caracas
hard,,Vietnam	Hanoi
easy,,Wales	Cardiff
hard,,Yemen	Sana'a, Aden
hard,,Zambia	Lusaka
hard,,Zimbabwe	Harare
